city,country,city ID,city_latitude,city_longitude,latitude,longitude
ribeira grande,pt,8010689,37.8210369,-25.5148137,37.8210369,-25.5148137
ancud,cl,3899695,-41.8675003,-73.8276965,-41.8675003,-73.8276965
saint-augustin,ca,6137462,51.2327688,-58.65154440000001,51.2327688,-58.65154440000001
comodoro rivadavia,ar,3860443,-45.8656149,-67.4822429,-45.8656149,-67.4822429
beloha,mg,1067565,-25.1694494,45.0606557,-25.1694494,45.0606557
mehamn,no,778707,71.0357069,27.8489412,71.0357069,27.8489412
le mars,us,4864337,42.79415669999999,-96.1655778,42.79415669999999,-96.1655778
tongliao,cn,2034400,43.65289,122.243444,43.65289,122.243444
thohoyandou,za,949224,-22.878541,30.4818446,-22.878541,30.4818446
ulladulla,au,2145554,-35.3572426,150.4613249,-35.3572426,150.4613249
dudinka,ru,1507116,69.40419539999999,86.2002911,69.40419539999999,86.2002911
coahuayana,mx,4025994,18.7372222,-103.6688888,18.7372222,-103.6688888
egvekinot,ru,4031742,66.3205041,-179.1183787,66.3205041,-179.1183787
mont-de-marsan,fr,6433897,43.893485,-0.4997819999999999,43.893485,-0.4997819999999999
santa maria,cv,3374218,41.0820867,14.2541872,41.0820867,14.2541872
rock sound,bs,3571592,24.879051,-76.1580852,24.879051,-76.1580852
esperance,au,2071860,-33.8608027,121.8896205,-33.8608027,121.8896205
zhangye,cn,1785036,38.925875,100.449818,38.925875,100.449818
cayenne,gf,6690689,4.92242,-52.3134531,4.92242,-52.3134531
zemio,cf,235826,5.0308931,25.1325897,5.0308931,25.1325897
hasaki,jp,2112802,35.7453776,140.8272903,35.7453776,140.8272903
baiao,br,3406844,-2.7913719,-49.6710179,-2.7913719,-49.6710179
ginosa,it,6539836,40.5774031,16.7558078,40.5774031,16.7558078
grand-santi,gf,3381538,4.2507342,-54.38225,4.2507342,-54.38225
bambous virieux,mu,1106677,-20.3438619,57.7636821,-20.3438619,57.7636821
severo-kurilsk,ru,2121385,50.66808,156.1138803,50.66808,156.1138803
qaqortoq,gl,3420846,60.71898640000001,-46.03534579999999,60.71898640000001,-46.03534579999999
cabo san lucas,mx,3985710,22.8905327,-109.9167371,22.8905327,-109.9167371
cuenca,es,6357429,40.0703925,-2.1374162,40.0703925,-2.1374162
kahului,us,5847411,20.8893351,-156.4729469,20.8893351,-156.4729469
lompoc,us,5367788,34.6391501,-120.4579409,34.6391501,-120.4579409
smithers,ca,6149996,54.782355,-127.1685541,54.782355,-127.1685541
chimbote,pe,3698304,-9.063336399999999,-78.589011,-9.063336399999999,-78.589011
san jose de sisa,pe,3692464,-6.614042299999999,-76.69035699999999,-6.614042299999999,-76.69035699999999
gold coast,au,7839581,-28.016667,153.4,-28.016667,153.4
damghan,ir,138025,36.1646345,54.3576473,36.1646345,54.3576473
kudahuvadhoo,mv,1337607,2.6707039,72.8914233,2.6707039,72.8914233
puerto madero,mx,3520989,14.7193519,-92.4255775,14.7193519,-92.4255775
sao filipe,cv,3374210,14.8951679,-24.4945636,14.8951679,-24.4945636
dothan,us,4059102,31.2232313,-85.3904888,31.2232313,-85.3904888
hukuntsi,bw,933726,-23.9931196,21.7495419,-23.9931196,21.7495419
bay-khaak,ru,1510690,51.158764,94.462876,51.158764,94.462876
carnarvon,au,2074865,-24.884,113.661,-24.884,113.661
west monroe,us,4345850,32.5184775,-92.14763529999999,32.5184775,-92.14763529999999
bubaque,gw,2374583,11.283333,-15.833333,11.283333,-15.833333
dunedin,nz,2191562,-45.8787605,170.5027976,-45.8787605,170.5027976
makakilo city,us,5850554,21.3469444,-158.0858333,21.3469444,-158.0858333
zhigansk,ru,2012530,66.75206399999999,123.3941119,66.75206399999999,123.3941119
sal rei,cv,3374235,16.183349,-22.9148168,16.183349,-22.9148168
isetskoye,ru,1505466,56.4575679,61.52310419999999,56.4575679,61.52310419999999
allapalli,in,1278987,17.8299145,80.4799273,17.8299145,80.4799273
vila do maio,cv,3374120,15.1385669,-23.2066909,15.1385669,-23.2066909
perth,au,2063523,-31.9505269,115.8604572,-31.9505269,115.8604572
isangel,vu,2136825,-19.54172,169.2803499,-19.54172,169.2803499
grand gaube,mu,934479,-20.014212,57.6694082,-20.014212,57.6694082
sitka,us,5557293,57.0530556,-135.33,57.0530556,-135.33
nchelenge,zm,175499,-9.353427,28.7402073,-9.353427,28.7402073
panshi,cn,2035511,42.946285,126.060427,42.946285,126.060427
souillac,mu,933995,-20.5180739,57.52638589999999,-20.5180739,57.52638589999999
west bay,ky,3580477,19.3823423,-81.3894297,19.3823423,-81.3894297
bandarbeyla,so,64814,9.498579999999999,50.8105261,9.498579999999999,50.8105261
vredendal,za,3359736,-31.6391218,18.5285072,-31.6391218,18.5285072
ganzhou,cn,1810638,25.830694,114.933546,25.830694,114.933546
akdepe,tm,601551,42.0531638,59.38455200000001,42.0531638,59.38455200000001
praia da vitoria,pt,3372760,38.7339162,-27.0646976,38.7339162,-27.0646976
kitale,ke,191220,1.019089,35.0023048,1.019089,35.0023048
sibolga,id,1213855,1.7368371,98.78511209999999,1.7368371,98.78511209999999
teseney,er,327651,15.1634121,36.6525696,15.1634121,36.6525696
dalbandin,pk,1180729,28.8854045,64.3963673,28.8854045,64.3963673
sabha,ly,2212775,27.0365406,14.4290236,27.0365406,14.4290236
mount gambier,au,7839440,-37.8284212,140.7803529,-37.8284212,140.7803529
kloulklubed,pw,7671223,7.040244599999999,134.256193,7.040244599999999,134.256193
korla,cn,1529376,41.725891,86.17463300000001,41.725891,86.17463300000001
milford,us,4972028,41.2306979,-73.064036,41.2306979,-73.064036
golynki,ru,560452,54.8675594,31.3957567,54.8675594,31.3957567
barrow,us,5880054,71.29055559999999,-156.788611,71.29055559999999,-156.788611
ipameri,br,3461151,-17.722004,-48.1585601,-17.722004,-48.1585601
biltine,td,244878,14.5257818,20.9238397,14.5257818,20.9238397
karymskoye,ru,2023094,51.6079099,114.356556,51.6079099,114.356556
petropavlovsk-kamchatskiy,ru,2122104,53.0409109,158.677726,53.0409109,158.677726
victoria,sc,241131,-4.619143,55.4513149,-4.619143,55.4513149
show low,us,5314245,34.2542084,-110.0298327,34.2542084,-110.0298327
sioux lookout,ca,6148373,50.0978321,-91.922038,50.0978321,-91.922038
vryburg,za,942511,-26.9584048,24.7298615,-26.9584048,24.7298615
kenai,us,5866063,60.55444439999999,-151.2583333,60.55444439999999,-151.2583333
puri,in,1259184,19.8133822,85.8314655,19.8133822,85.8314655
sarishabari,bd,1188569,24.7512974,89.82826039999999,24.7512974,89.82826039999999
sangar,ru,2017215,63.92200099999999,127.4695071,63.92200099999999,127.4695071
neryungri,ru,2019309,56.6614269,124.7058164,56.6614269,124.7058164
halifax,ca,6324729,44.64876350000001,-63.5752387,44.64876350000001,-63.5752387
graaff-reinet,za,1000543,-32.2547052,24.5480227,-32.2547052,24.5480227
redlands,us,5386754,34.0555693,-117.1825381,34.0555693,-117.1825381
pombas,cv,3374351,17.152756,-25.027117,17.152756,-25.027117
tomatlan,mx,3981391,19.9344504,-105.2516629,19.9344504,-105.2516629
vendychany,ua,690032,48.6184003,27.8023025,48.6184003,27.8023025
zaysan,kz,1517060,47.4701444,84.87529959999999,47.4701444,84.87529959999999
bathsheba,bb,3374083,13.2101681,-59.5253545,13.2101681,-59.5253545
red wing,us,5042773,44.5660691,-92.5369563,44.5660691,-92.5369563
rudbar,af,1128239,30.15,62.6,30.15,62.6
tunceli,tr,298845,39.10617,39.548259,39.10617,39.548259
mount pleasant,us,4712933,32.8323225,-79.82842579999999,32.8323225,-79.82842579999999
westport,ie,2960970,53.80213070000001,-9.514346699999999,53.80213070000001,-9.514346699999999
freeport,us,4893171,28.9541368,-95.35966169999999,28.9541368,-95.35966169999999
yulara,au,6355222,-25.2334936,130.9848698,-25.2334936,130.9848698
guerrero negro,mx,4021858,27.9591758,-114.056646,27.9591758,-114.056646
kruisfontein,za,986717,-33.9843356,24.732102,-33.9843356,24.732102
emerald,au,2167425,-23.527291,148.164573,-23.527291,148.164573
sept-iles,ca,6144312,50.21329679999999,-66.37579199999999,50.21329679999999,-66.37579199999999
armenia,sv,3587333,40.223915,44.506073,40.223915,44.506073
baghdad,iq,98182,33.3128057,44.3614875,33.3128057,44.3614875
coos bay,us,5720495,43.3665007,-124.2178903,43.3665007,-124.2178903
bardiyah,ly,80509,31.7579946,25.0792189,31.7579946,25.0792189
norsup,vu,2135517,-16.0680983,167.3984704,-16.0680983,167.3984704
